Label,precision,recall,f1-score,support,Feature Group,Model
None,1.0,0.9899239152786345,0.9949364472460474,4863.0,Event Damage Classifier,Logistic Regression
Slight,0.7748917748917749,0.9944444444444445,0.8710462287104623,180.0,Event Damage Classifier,Logistic Regression
Moderate,0.9925925925925926,0.950354609929078,0.9710144927536232,141.0,Event Damage Classifier,Logistic Regression
Extensive,0.0,0.0,0.0,0.0,Event Damage Classifier,Logistic Regression
Complete,0.7333333333333333,1.0,0.8461538461538461,11.0,Event Damage Classifier,Logistic Regression
accuracy,0.9890279114533205,0.9890279114533205,0.9890279114533205,0.9890279114533205,Event Damage Classifier,Logistic Regression
macro avg,0.7001635401635402,0.7869445939304314,0.7366302029727958,5195.0,Event Damage Classifier,Logistic Regression
weighted avg,0.9914345989803159,0.9890279114533205,0.9896794995017065,5195.0,Event Damage Classifier,Logistic Regression
None,0.979662185453292,0.5844129138391939,0.7320968572900567,4863.0,Structural Vulnerability Classifier,Logistic Regression
Slight,0.10277777777777777,0.4111111111111111,0.16444444444444445,180.0,Structural Vulnerability Classifier,Logistic Regression
Moderate,0.08274894810659186,0.41843971631205673,0.13817330210772832,141.0,Structural Vulnerability Classifier,Logistic Regression
Extensive,0.0,0.0,0.0,0.0,Structural Vulnerability Classifier,Logistic Regression
Complete,0.010452961672473868,0.8181818181818182,0.020642201834862386,11.0,Structural Vulnerability Classifier,Logistic Regression
accuracy,0.5743984600577479,0.5743984600577479,0.5743984600577479,0.5743984600577479,Structural Vulnerability Classifier,Logistic Regression
macro avg,0.2351283746020271,0.446429111888836,0.21107136113541838,5195.0,Structural Vulnerability Classifier,Logistic Regression
weighted avg,0.9228835018519317,0.5743984600577479,0.6948020244117264,5195.0,Structural Vulnerability Classifier,Logistic Regression
