Model Family,Feature,Importance_R2_Decrease,Importance_std,Model
Structural-only core,deck_area_log1p,0.1047672310990874,0.0073935372712846045,Random Forest
Structural-only core,max_span_log1p,0.06563087874330509,0.0031381039310293033,Random Forest
Structural-only core,age_years,0.06240170462005969,0.0032300778393651902,Random Forest
Structural-only core,HWB_CLASS,0.061449478306658256,0.005041642870005967,Random Forest
Structural-only core,spans,0.05667584386035094,0.007538956582819375,Random Forest
Structural-only core,time_since_rehab,0.046218805566119195,0.001908619202556515,Random Forest
Structural-only core,operating_rating,0.04409233289552141,0.004772565232142814,Random Forest
Structural-only core,design_era_1989,0.031483406566999904,0.002978338988859156,Random Forest
Structural-only core,skew,0.020482112913173277,0.0017888916180871714,Random Forest
Structural-only core,cond,0.01261771892255521,0.002267914142715136,Random Forest
Structural-only core,reconstructed_flag,0.007460564832805705,0.0016502701955306324,Random Forest
Structural + SVI,deck_area_log1p,0.09315940315706069,0.006199021367097769,Random Forest
Structural + SVI,HWB_CLASS,0.06304276265862015,0.00598178185760496,Random Forest
Structural + SVI,age_years,0.062324215243356115,0.0029147499972185104,Random Forest
Structural + SVI,max_span_log1p,0.05587884477383087,0.0031180052242931232,Random Forest
Structural + SVI,spans,0.046224674349856575,0.006259446135426372,Random Forest
Structural + SVI,time_since_rehab,0.043364407264757876,0.0017002790380339218,Random Forest
Structural + SVI,operating_rating,0.039392172718926276,0.005002756370520426,Random Forest
Structural + SVI,design_era_1989,0.02721947671321312,0.002247096640873901,Random Forest
Structural + SVI,SVI,0.026785068853518612,0.0022892604653556936,Random Forest
Structural + SVI,skew,0.017027679433327815,0.0014462309191124573,Random Forest
Structural + SVI,cond,0.012574479148205775,0.0017396131394423542,Random Forest
Structural + SVI,reconstructed_flag,0.005003485498929328,0.0008865855949117514,Random Forest
Structural + SVI + NDVI,deck_area_log1p,0.05810812641385073,0.0029672115698326997,Random Forest
Structural + SVI + NDVI,age_years,0.04938004807832075,0.004635425214700407,Random Forest
Structural + SVI + NDVI,HWB_CLASS,0.04790796415640049,0.005217613517817708,Random Forest
Structural + SVI + NDVI,ndvi_loss,0.04211561965293007,0.003555356630624161,Random Forest
Structural + SVI + NDVI,max_span_log1p,0.036573935003507384,0.0027571219051384078,Random Forest
Structural + SVI + NDVI,spans,0.03512679198280968,0.00436538653267595,Random Forest
Structural + SVI + NDVI,ndvi_change,0.03363603771167249,0.0029549572306345312,Random Forest
Structural + SVI + NDVI,time_since_rehab,0.029431152764008983,0.001743925095016875,Random Forest
Structural + SVI + NDVI,operating_rating,0.027525420878259356,0.003585858904250354,Random Forest
Structural + SVI + NDVI,design_era_1989,0.023152534103671553,0.0021896142551358585,Random Forest
Structural + SVI + NDVI,SVI,0.017782914573857854,0.0020947109018233994,Random Forest
Structural + SVI + NDVI,skew,0.013179560870088402,0.0018751508512089893,Random Forest
Structural + SVI + NDVI,cond,0.008493946330736413,0.0021260861887865898,Random Forest
Structural + SVI + NDVI,reconstructed_flag,0.004046962716116731,0.001024280636167235,Random Forest
